well_id,easting,northing,depth_tvd_m,porosity_pct,gamma_ray_api,bulk_density_gcc,formation_top_tvd,formation_base_tvd,formation_thickness_m,distance_to_usp_km,flag,flag_reason
JUT-01,134098.0,451726.0,1676.9711670588235,,51.2883,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1677.4643117647058,,52.1856,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1677.957456470588,,51.0805,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1678.4506011764706,,49.6104,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1678.943745882353,,50.1581,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1679.4368905882352,,50.2324,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1679.9300352941177,,49.7141,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1680.42318,,49.1968,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1680.9163247058823,,49.6544,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1681.4094694117646,,50.9431,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1681.902614117647,,52.1536,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1682.3957588235294,,52.0211,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1682.8889035294117,,51.8866,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1683.3820482352942,,50.6517,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1683.8751929411765,,49.288,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1684.3683376470588,,47.9256,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1684.861482352941,,46.7753,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1685.3546270588236,,46.3425,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1685.8477717647058,,46.5323,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1686.3409164705881,,46.8899,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1686.8340611764706,,47.1875,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1687.327205882353,,47.1871,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1687.8203505882352,,46.84,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1688.3134952941175,,46.3613,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1688.80664,,45.1155,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1689.2997847058823,,46.1759,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1689.7929294117646,,50.0919,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1690.286074117647,,52.9435,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1690.7792188235294,,51.5258,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1691.2723635294117,,49.9855,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1691.765508235294,,50.9127,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1692.2586529411765,,53.4487,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
